단어,발음기호,한국어발음,분류,품사,뜻,예문,예문해석,예문2,예문2해석,예문3,예문3해석,예문4,예문4해석
mother,/ˈmʌðər/,[머]더,1-2 Family and Relatives 가족과 친척,명,어머니,My **mother** makes soup when someone feels sick.,어머니는 누군가 아플 때 수프를 끓여 주신다.,,,,,,
dad,/dæd/,[대]드,1-2 Family and Relatives 가족과 친척,명,아빠,I called my **dad** to ask about the car.,나는 자동차에 대해 물어보려고 아빠에게 전화했다.,,,,,,
mom,/mɑːm/,[맘]ː,1-2 Family and Relatives 가족과 친척,명,엄마,My **mom** and I shop for groceries together.,엄마와 나는 함께 장을 본다.,,,,,,
son,/sʌn/,[썬],1-2 Family and Relatives 가족과 친척,명,아들,Their **son** starts elementary school next month.,그들의 아들은 다음 달에 초등학교에 입학한다.,,,,,,
daughter,/ˈdɔːtər/,[도]ː터,1-2 Family and Relatives 가족과 친척,명,딸,My **daughter** drew a picture for my birthday.,내 딸은 내 생일을 위해 그림을 그렸다.,,,,,,
child,/tʃaɪld/,[차]일드,1-2 Family and Relatives 가족과 친척,명,자녀; 아이,Every **child** needs a safe place to play.,모든 아이에게는 안전하게 놀 장소가 필요하다.,,,,,,
sibling,/ˈsɪblɪŋ/,[시]블링,1-2 Family and Relatives 가족과 친척,명,형제자매,Having a **sibling** taught me how to share.,형제자매가 있는 덕분에 나는 나누는 법을 배웠다.,,,,,,
brother,/ˈbrʌðər/,브[러]더,1-2 Family and Relatives 가족과 친척,명,형제,My **brother** helped me move the heavy desk.,내 형제는 무거운 책상을 옮기는 것을 도와주었다.,,,,,,
sister,/ˈsɪstər/,[시]스터,1-2 Family and Relatives 가족과 친척,명,자매,I borrowed this dress from my **sister**.,나는 이 드레스를 자매에게 빌렸다.,,,,,,
older brother,/ˈoʊldər brʌðər/,[오]울더 브러더,1-2 Family and Relatives 가족과 친척,구,형; 오빠,My **older brother** gave me advice about college.,형은 대학에 관해 조언해 주었다.,,,,,,
older sister,/ˈoʊldər sɪstər/,[오]울더 시스터,1-2 Family and Relatives 가족과 친척,구,누나; 언니,My **older sister** lives two blocks away.,누나는 두 블록 떨어진 곳에 산다.,,,,,,
younger brother,/ˈjʌŋɡər brʌðər/,[영]거 브러더,1-2 Family and Relatives 가족과 친척,구,남동생,I play basketball with my **younger brother** after school.,나는 방과 후에 남동생과 농구를 한다.,,,,,,
younger sister,/ˈjʌŋɡər sɪstər/,[영]거 시스터,1-2 Family and Relatives 가족과 친척,구,여동생,My **younger sister** is learning to cook.,여동생은 요리를 배우고 있다.,,,,,,
twin,/twɪn/,트[윈],1-2 Family and Relatives 가족과 친척,명/형,명: 쌍둥이 / 형: 쌍둥이의,"One **twin** loves music, while the other prefers sports.",쌍둥이 중 한 명은 음악을 좋아하고 다른 한 명은 스포츠를 더 좋아한다.,They bought matching beds for their **twin** daughters.,그들은 쌍둥이 딸들을 위해 같은 침대를 샀다.,,,,
grandparents,/ˈɡrænperənts/,그[랜]페런츠,1-2 Family and Relatives 가족과 친척,명,조부모,We visit our **grandparents** during the holiday.,우리는 명절에 조부모님을 찾아뵌다.,,,,,,
grandfather,/ˈɡrænfɑːðər/,그[랜]파ː더,1-2 Family and Relatives 가족과 친척,명,할아버지 / 외할아버지,My **grandfather** tells wonderful stories about his youth.,할아버지는 젊은 시절에 관한 멋진 이야기를 들려주신다.,,,,,,
grandmother,/ˈɡrænmʌðər/,그[랜]머더,1-2 Family and Relatives 가족과 친척,명,할머니 / 외할머니,My **grandmother** grows tomatoes behind her house.,할머니는 집 뒤에서 토마토를 기르신다.,,,,,,
grandpa,/ˈɡrænpɑː/,그[랜]파ː,1-2 Family and Relatives 가족과 친척,명,할아버지 / 외할아버지 (친근),**Grandpa** reads the newspaper at breakfast.,할아버지는 아침 식사 때 신문을 읽으신다.,,,,,,
grandma,/ˈɡrænmɑː/,그[랜]마ː,1-2 Family and Relatives 가족과 친척,명,할머니 / 외할머니 (친근),**Grandma** knitted a warm scarf for me.,할머니는 나를 위해 따뜻한 목도리를 떠 주셨다.,,,,,,
grandchild,/ˈɡræntʃaɪld/,그[랜]차일드,1-2 Family and Relatives 가족과 친척,명,손주,Their first **grandchild** was born in May.,그들의 첫 손주가 5월에 태어났다.,,,,,,
grandson,/ˈɡrænsʌn/,그[랜]썬,1-2 Family and Relatives 가족과 친척,명,손자,Her **grandson** calls her every Saturday.,그녀의 손자는 매주 토요일에 전화한다.,,,,,,
granddaughter,/ˈɡrændɔːtər/,그[랜]도ː터,1-2 Family and Relatives 가족과 친척,명,손녀,My **granddaughter** enjoys reading picture books.,내 손녀는 그림책 읽기를 좋아한다.,,,,,,
great-grandfather,/ˈɡreɪt ɡrænfɑːðər/,그[레]이트 그랜파ː더,1-2 Family and Relatives 가족과 친척,명,증조할아버지 / 외증조할아버지,A photo of my **great-grandfather** hangs in the hallway.,증조할아버지의 사진이 복도에 걸려 있다.,,,,,,
great-grandmother,/ˈɡreɪt ɡrænmʌðər/,그[레]이트 그랜머더,1-2 Family and Relatives 가족과 친척,명,증조할머니 / 외증조할머니,My **great-grandmother** lived to be ninety-eight.,증조할머니는 아흔여덟 살까지 사셨다.,,,,,,
relative,/ˈrelətɪv/,[렐]러티브,1-2 Family and Relatives 가족과 친척,명,친척,A distant **relative** sent us a wedding invitation.,먼 친척이 우리에게 결혼식 초대장을 보냈다.,,,,,,
uncle,/ˈʌŋkl/,[엉]클,1-2 Family and Relatives 가족과 친척,명,삼촌·큰아버지·작은아버지 / 외삼촌 / 이모부·고모부,My **uncle** owns a small repair shop.,삼촌은 작은 수리점을 운영한다.,,,,,,
aunt,/ænt/,[앤]트,1-2 Family and Relatives 가족과 친척,명,고모·큰어머니·작은어머니 / 이모 / 외숙모,My **aunt** brought homemade cookies to the party.,고모는 파티에 직접 만든 쿠키를 가져왔다.,,,,,,
cousin,/ˈkʌzn/,[커]즌,1-2 Family and Relatives 가족과 친척,명,친사촌 / 외사촌 / 이종사촌 / 고종사촌,I met my **cousin** for coffee downtown.,나는 도심에서 사촌을 만나 커피를 마셨다.,,,,,,
nephew,/ˈnefjuː/,[네]퓨ː,1-2 Family and Relatives 가족과 친척,명,조카(남),My **nephew** learned to swim this summer.,내 남자 조카는 이번 여름에 수영을 배웠다.,,,,,,
niece,/niːs/,[니]ː스,1-2 Family and Relatives 가족과 친척,명,조카(여),My **niece** performed in the school play.,내 여자 조카는 학교 연극에 출연했다.,,,,,,
husband,/ˈhʌzbənd/,[허]즈번드,1-2 Family and Relatives 가족과 친척,명,남편,My **husband** usually cooks dinner on Fridays.,남편은 보통 금요일에 저녁을 만든다.,,,,,,
wife,/waɪf/,[와]이프,1-2 Family and Relatives 가족과 친척,명,아내,His **wife** works at a local bank.,그의 아내는 지역 은행에서 일한다.,,,,,,
spouse,/spaʊs/,스[파]우스,1-2 Family and Relatives 가족과 친척,명,배우자,Employees may add a **spouse** to the health plan.,직원은 건강보험에 배우자를 추가할 수 있다.,,,,,,
couple,/ˈkʌpl/,[커]플,1-2 Family and Relatives 가족과 친척,명,부부; 커플; 두 사람,The young **couple** moved into the apartment upstairs.,그 젊은 부부는 위층 아파트로 이사했다.,,,,,,
in-laws,/ˈɪn lɔːz/,[인] 로ː즈,1-2 Family and Relatives 가족과 친척,명,시댁·처가 식구,We are having lunch with my **in-laws** tomorrow.,우리는 내일 시댁 식구들과 점심을 먹을 예정이다.,,,,,,
father-in-law,/ˈfɑːðər ɪn lɔː/,[파]ː더 인 로ː,1-2 Family and Relatives 가족과 친척,명,시아버지; 장인,My **father-in-law** enjoys fishing early in the morning.,시아버지는 이른 아침 낚시를 즐기신다.,,,,,,
mother-in-law,/ˈmʌðər ɪn lɔː/,[머]더 인 로ː,1-2 Family and Relatives 가족과 친척,명,시어머니; 장모,My **mother-in-law** shared her soup recipe with me.,시어머니는 내게 수프 조리법을 알려 주셨다.,,,,,,
son-in-law,/ˈsʌn ɪn lɔː/,[썬] 인 로ː,1-2 Family and Relatives 가족과 친척,명,사위,Their **son-in-law** drove everyone to the airport.,그들의 사위가 모두를 공항까지 태워 주었다.,,,,,,
daughter-in-law,/ˈdɔːtər ɪn lɔː/,[도]ː터 인 로ː,1-2 Family and Relatives 가족과 친척,명,며느리,My **daughter-in-law** organized the family dinner.,며느리가 가족 저녁 식사를 준비했다.,,,,,,
brother-in-law,/ˈbrʌðər ɪn lɔː/,브[러]더 인 로ː,1-2 Family and Relatives 가족과 친척,명,처남; 매형; 시숙 등,I borrowed a ladder from my **brother-in-law**.,나는 처남에게 사다리를 빌렸다.,,,,,,
sister-in-law,/ˈsɪstər ɪn lɔː/,[시]스터 인 로ː,1-2 Family and Relatives 가족과 친척,명,올케; 처제; 형수 등,My **sister-in-law** recommended this restaurant.,올케가 이 식당을 추천했다.,,,,,,
stepfather,/ˈstepfɑːðər/,스[텝]파ː더,1-2 Family and Relatives 가족과 친척,명,새아버지,My **stepfather** taught me basic home repairs.,새아버지는 내게 기본적인 집 수리를 가르쳐 주셨다.,,,,,,
stepmother,/ˈstepmʌðər/,스[텝]머더,1-2 Family and Relatives 가족과 친척,명,새어머니,My **stepmother** joined us for the school ceremony.,새어머니는 학교 행사에 우리와 함께 참석했다.,,,,,,
stepchild,/ˈsteptʃaɪld/,스[텝]차일드,1-2 Family and Relatives 가족과 친척,명,의붓자식,He treats his **stepchild** with patience and respect.,그는 의붓자식을 인내와 존중으로 대한다.,,,,,,
half-brother,/ˈhæf brʌðər/,[해]프 브러더,1-2 Family and Relatives 가족과 친척,명,이복·이부 형제,My **half-brother** lives with his mother in Busan.,이복 형제는 부산에서 어머니와 함께 산다.,,,,,,
half-sister,/ˈhæf sɪstər/,[해]프 시스터,1-2 Family and Relatives 가족과 친척,명,이복·이부 자매,I share a birthday month with my **half-sister**.,나는 이복 자매와 생일이 같은 달이다.,,,,,,
only child,/ˈoʊnli tʃaɪld/,[오]운리 차일드,1-2 Family and Relatives 가족과 친척,구,외동,"As an **only child**, she spent a lot of time reading.",외동인 그녀는 책을 읽으며 많은 시간을 보냈다.,,,,,,
adopted child,/əˈdɑːptɪd tʃaɪld/,어[답]ː티드 차일드,1-2 Family and Relatives 가족과 친척,구,입양아,The **adopted child** quickly felt at home with the family.,그 입양아는 곧 그 가족에게 편안함을 느꼈다.,,,,,,
godparent,/ˈɡɑːdperənt/,[갓]ː페런트,1-2 Family and Relatives 가족과 친척,명,대부·대모,Her **godparent** gave a short speech at the ceremony.,그녀의 대부가 행사에서 짧은 연설을 했다.,,,,,,
amused,/əˈmjuːzd/,어[뮤]ː즈드,"1-3 Emotions, Personality and States 감정·성격·상태",형,즐거운; 재미있어하는,The joke made me feel **amused**.,그 농담이 재미있어서 즐거웠다.,,,,,,
apologetic,/əˌpɑːləˈdʒetɪk/,어팔ː러[제]틱,"1-3 Emotions, Personality and States 감정·성격·상태",형,미안해하는; 사과하는,He sounded **apologetic** after the mistake.,그는 실수한 뒤 미안해하는 말투였다.,,,,,,
blissful,/ˈblɪsfl/,블[리]스풀,"1-3 Emotions, Personality and States 감정·성격·상태",형,더없이 행복한,I felt **blissful** during my quiet vacation.,나는 조용한 휴가 동안 더없이 행복했다.,,,,,,
disappointed,/ˌdɪsəˈpɔɪntɪd/,디서[포]인티드,"1-3 Emotions, Personality and States 감정·성격·상태",형,실망한,I was **disappointed** with the result.,나는 그 결과에 실망했다.,,,,,,
disgusted,/dɪsˈɡʌstɪd/,디스[거]스티드,"1-3 Emotions, Personality and States 감정·성격·상태",형,혐오감을 느끼는; 역겨워하는,I felt **disgusted** by the bad smell.,나는 그 나쁜 냄새에 역겨움을 느꼈다.,,,,,,
doubtful,/ˈdaʊtfl/,[다]웃풀,"1-3 Emotions, Personality and States 감정·성격·상태",형,의심을 품는; 불확실한,I was **doubtful** about the plan.,나는 그 계획에 의심이 들었다.,,,,,,
ecstatic,/ɪkˈstætɪk/,익스[태]틱,"1-3 Emotions, Personality and States 감정·성격·상태",형,황홀해하는; 열광하는,She was **ecstatic** about the good news.,그녀는 좋은 소식에 매우 기뻐했다.,,,,,,
envious,/ˈenviəs/,[엔]비어스,"1-3 Emotions, Personality and States 감정·성격·상태",형,부러워하는,I felt **envious** of his new car.,나는 그의 새 차가 부러웠다.,,,,,,
frustrated,/ˈfrʌstreɪtɪd/,프[러]스트레이티드,"1-3 Emotions, Personality and States 감정·성격·상태",형,좌절하는; 답답해하는,I felt **frustrated** by the delay.,나는 지연 때문에 답답했다.,,,,,,
grieved,/ɡriːvd/,그[리]ː브드,"1-3 Emotions, Personality and States 감정·성격·상태",형,비통해하는; 슬퍼하는,The family was deeply **grieved** by the loss.,그 가족은 그 상실로 깊이 슬퍼했다.,,,,,,
guilty,/ˈɡɪlti/,[길]티,"1-3 Emotions, Personality and States 감정·성격·상태",형,죄책감이 드는; 유죄의,I felt **guilty** about being late.,나는 늦은 것에 죄책감이 들었다.,,,,,,
happy,/ˈhæpi/,[해]피,"1-3 Emotions, Personality and States 감정·성격·상태",형,행복한; 기쁜,I felt **happy** after the meeting.,나는 회의가 끝난 뒤 기뻤다.,,,,,,
jealous,/ˈdʒeləs/,[젤]러스,"1-3 Emotions, Personality and States 감정·성격·상태",형,질투하는,He felt **jealous** of his coworker.,그는 동료를 질투했다.,,,,,,
lovestruck,/ˈlʌvstrʌk/,[러]브스트럭,"1-3 Emotions, Personality and States 감정·성격·상태",형,상사병에 걸린,He looked **lovestruck** after their first date.,그는 첫 데이트 후 사랑에 빠진 사람처럼 보였다.,,,,,,
miserable,/ˈmɪzrəbl/,[미]저러블,"1-3 Emotions, Personality and States 감정·성격·상태",형,비참한; 불행한,I felt **miserable** when I was sick.,나는 아팠을 때 매우 괴로웠다.,,,,,,
offensive,/əˈfensɪv/,어[펜]시브,"1-3 Emotions, Personality and States 감정·성격·상태",형,불쾌한; 공격적인,His comment was **offensive**.,그의 말은 불쾌했다.,,,,,,
pensive,/ˈpensɪv/,[펜]시브,"1-3 Emotions, Personality and States 감정·성격·상태",형,고뇌에 찬; 생각에 잠긴,She looked **pensive** during the meeting.,그녀는 회의 중 생각에 잠겨 보였다.,,,,,,
puzzled,/ˈpʌzld/,[퍼]즐드,"1-3 Emotions, Personality and States 감정·성격·상태",형,어리둥절한,I was **puzzled** by the instructions.,나는 그 안내를 보고 어리둥절했다.,,,,,,
rageful,/ˈreɪdʒfl/,[레]이지풀,"1-3 Emotions, Personality and States 감정·성격·상태",형,격분한,He became **rageful** during the argument.,그는 말다툼 중 몹시 화가 났다.,,,,,,
regretful,/rɪˈɡretfl/,리그[렛]풀,"1-3 Emotions, Personality and States 감정·성격·상태",형,유감스러워하는; 후회하는,She felt **regretful** about her decision.,그녀는 자신의 결정을 후회했다.,,,,,,
relieved,/rɪˈliːvd/,릴[리]ː브드,"1-3 Emotions, Personality and States 감정·성격·상태",형,안도하는,I felt **relieved** when the test was over.,시험이 끝나자 나는 안도했다.,,,,,,
sad,/sæd/,[새]드,"1-3 Emotions, Personality and States 감정·성격·상태",형,슬픈,I felt **sad** when my friend moved away.,친구가 이사 갔을 때 나는 슬펐다.,,,,,,
shocked,/ʃɑːkt/,[샥]ː트,"1-3 Emotions, Personality and States 감정·성격·상태",형,충격을 받은,We were **shocked** by the sudden news.,우리는 갑작스러운 소식에 충격을 받았다.,,,,,,
shy,/ʃaɪ/,[샤]이,"1-3 Emotions, Personality and States 감정·성격·상태",형,수줍어하는; 부끄러워하는,I was **shy** around new people.,나는 처음 만난 사람들 앞에서 수줍었다.,,,,,,
surprised,/sərˈpraɪzd/,서프[라]이즈드,"1-3 Emotions, Personality and States 감정·성격·상태",형,놀란,I was **surprised** by the gift.,나는 그 선물에 놀랐다.,,,,,,
terrified,/ˈterɪfaɪd/,[테]러파이드,"1-3 Emotions, Personality and States 감정·성격·상태",형,무서워하는; 겁에 질린,I was **terrified** during the storm.,나는 폭풍이 치는 동안 겁에 질렸다.,,,,,,
uneasy,/ʌnˈiːzi/,언[이]ː지,"1-3 Emotions, Personality and States 감정·성격·상태",형,불안해하는,I became **uneasy** while waiting for the interview.,나는 면접 전에 불안했다.,,,,,,
bored,/bɔːrd/,[보]ː드,"1-3 Emotions, Personality and States 감정·성격·상태",형,지루해하는,I was **bored** during the long wait.,나는 오래 기다리는 동안 지루했다.,,,,,,
angry,/ˈæŋɡri/,[앵]그리,"1-3 Emotions, Personality and States 감정·성격·상태",형,화난,I was **angry** about the mistake.,나는 그 실수 때문에 화가 났다.,,,,,,
upset,/ʌpˈset/,업[셋],"1-3 Emotions, Personality and States 감정·성격·상태",형/동,형: 속상한; 마음이 상한 / 동: 속상하게 하다,I felt **upset** after hearing the news.,나는 그 소식을 듣고 속상했다.,The delay **upset** several customers.,지연 때문에 몇몇 고객의 마음이 상했다.,,,,
annoyed,/əˈnɔɪd/,어[노]이드,"1-3 Emotions, Personality and States 감정·성격·상태",형,짜증 난,I was **annoyed** by the loud noise.,나는 큰 소음 때문에 짜증이 났다.,,,,,,
nervous,/ˈnɜːrvəs/,[너]ː버스,"1-3 Emotions, Personality and States 감정·성격·상태",형,긴장한; 초조한,I felt **nervous** before the presentation.,나는 발표 전에 긴장했다.,,,,,,
worried,/ˈwɜːrid/,[워]ː리드,"1-3 Emotions, Personality and States 감정·성격·상태",형,걱정하는,I was **worried** about the deadline.,나는 마감일이 걱정되었다.,,,,,,
anxious,/ˈæŋkʃəs/,[앵]크셔스,"1-3 Emotions, Personality and States 감정·성격·상태",형,불안한; 염려하는,"Before going in, I was quite **anxious**.",나는 면접 전에 불안했다.,,,,,,
scared,/skerd/,스[케]어드,"1-3 Emotions, Personality and States 감정·성격·상태",형,무서워하는; 겁먹은,I was **scared** during the thunderstorm.,나는 뇌우가 치는 동안 무서웠다.,,,,,,
embarrassed,/ɪmˈbærəst/,임[배]러스트,"1-3 Emotions, Personality and States 감정·성격·상태",형,당황한; 창피한,I felt **embarrassed** after the mistake.,나는 실수한 뒤 당황했다.,,,,,,
excited,/ɪkˈsaɪtɪd/,익[사]이티드,"1-3 Emotions, Personality and States 감정·성격·상태",형,신난; 흥분한,I was **excited** about the trip.,나는 여행 생각에 신이 났다.,,,,,,
pleased,/pliːzd/,플[리]ː즈드,"1-3 Emotions, Personality and States 감정·성격·상태",형,기뻐하는; 만족한,The manager was **pleased** with the result.,관리자는 그 결과에 만족했다.,,,,,,
satisfied,/ˈsætɪsfaɪd/,[새]티스파이드,"1-3 Emotions, Personality and States 감정·성격·상태",형,만족한,The customer was **satisfied** with the service.,고객은 서비스에 만족했다.,,,,,,
grateful,/ˈɡreɪtfl/,그[레]이트풀,"1-3 Emotions, Personality and States 감정·성격·상태",형,감사하는; 고마워하는,I was **grateful** for her help.,나는 그녀의 도움에 감사했다.,,,,,,
proud,/praʊd/,프[라]우드,"1-3 Emotions, Personality and States 감정·성격·상태",형,자랑스러워하는; 자부심 있는,I was **proud** of my team.,나는 우리 팀이 자랑스러웠다.,,,,,,
lonely,/ˈloʊnli/,[로]운리,"1-3 Emotions, Personality and States 감정·성격·상태",형,외로운,I felt **lonely** after moving to a new city.,나는 새 도시로 이사한 뒤 외로웠다.,,,,,,
depressed,/dɪˈprest/,디프[레]스트,"1-3 Emotions, Personality and States 감정·성격·상태",형,우울한,He felt **depressed** after losing his job.,그는 직장을 잃은 뒤 우울했다.,,,,,,
calm,/kɑːm/,[캄]ː,"1-3 Emotions, Personality and States 감정·성격·상태",명/형/동,명: 평온; 침착함 / 형: 차분한; 침착한 / 동: 진정시키다; 진정하다,A sense of **calm** returned to the office.,사무실에 평온이 돌아왔다.,She seems **calm** even under pressure.,그녀는 압박 속에서도 차분해 보인다.,Please **calm** the customer before the meeting.,회의 전에 고객을 진정시켜 주세요.,,
confused,/kənˈfjuːzd/,컨[퓨]ː즈드,"1-3 Emotions, Personality and States 감정·성격·상태",형,혼란스러운; 헷갈리는,I was **confused** by the new rules.,나는 새 규칙이 헷갈렸다.,,,,,,
jubilant,/ˈdʒuːbɪlənt/,[주]ː빌런트,"1-3 Emotions, Personality and States 감정·성격·상태",형,크게 기뻐하는; 환호하는,The team was **jubilant** after the victory.,그 팀은 승리 후 매우 기뻐했다.,,,,,,
apathetic,/ˌæpəˈθetɪk/,애퍼[쎄]틱,"1-3 Emotions, Personality and States 감정·성격·상태",형,무관심한,"During meetings, my coworker has a reputation for being **apathetic**.",내 동료는 무관심한 사람이다.,,,,,,
arrogant,/ˈærəɡənt/,[애]러건트,"1-3 Emotions, Personality and States 감정·성격·상태",형,오만한; 거만한,"When speaking to customers, my coworker is known for being **arrogant**.",내 동료는 오만한 사람이다.,,,,,,
cautious,/ˈkɔːʃəs/,[코]ː셔스,"1-3 Emotions, Personality and States 감정·성격·상태",형,조심스러운; 신중한,"Under pressure, my coworker usually comes across as **cautious**.",내 동료는 신중한 사람이다.,,,,,,
concentrated,/ˈkɑːnsntreɪtɪd/,[칸]ː슨트레이티드,"1-3 Emotions, Personality and States 감정·성격·상태",형,집중한; 집중하고 있는,She had a **concentrated** look while solving the problem.,그녀는 문제를 푸는 동안 집중한 표정을 지었다.,,,,,,
confident,/ˈkɑːnfɪdənt/,[칸]ː피던트,"1-3 Emotions, Personality and States 감정·성격·상태",형,자신감 있는; 확신하는,"During meetings, the manager described my coworker as **confident**.",내 동료는 자신감 있는 사람이다.,,,,,,
contemplative,/kənˈtemplətɪv/,컨[템]플러티브,"1-3 Emotions, Personality and States 감정·성격·상태",형,사색하는; 명상적인,"At work, my coworker appears **contemplative**.",내 동료는 사색하는 사람이다.,,,,,,
curious,/ˈkjʊriəs/,[큐]리어스,"1-3 Emotions, Personality and States 감정·성격·상태",형,궁금해하는; 호기심 많은,The quality that stands out in my coworker is being **curious**.,내 동료는 호기심 많은 사람이다.,,,,,,
guileful,/ˈɡaɪlfl/,[가]일풀,"1-3 Emotions, Personality and States 감정·성격·상태",형,교활한; 음흉한,"During meetings, I sometimes find my coworker too **guileful**.",내 동료는 교활한 사람이다.,,,,,,
negative,/ˈneɡətɪv/,[네]거티브,"1-3 Emotions, Personality and States 감정·성격·상태",형,부정적인; 음성의,"Her answer sounded **negative**, so I asked for details.",그녀의 대답이 부정적으로 들려서 나는 자세한 내용을 물었다.,,,,,,
obstinate,/ˈɑːbstɪnət/,[압]ː스티넛,"1-3 Emotions, Personality and States 감정·성격·상태",형,완강한; 고집 센,My coworker looks **obstinate** in difficult situations.,내 동료는 고집이 센 사람이다.,,,,,,
